paper_id,split,sample_type,noise_mode,noise_source,num_noise_chunks,num_contexts,num_context_chunks_eval,num_documents_in_context,num_retrieved_chunks,num_relevant_chunks,num_chunks_total_in_paper,retrieval_hits@1,retrieval_precision@1,retrieval_recall@1,retrieval_hits@3,retrieval_precision@3,retrieval_recall@3,retrieval_hits@5,retrieval_precision@5,retrieval_recall@5,retrieval_hits@10,retrieval_precision@10,retrieval_recall@10,context_hits@1,context_precision@1,context_recall@1,context_hits@3,context_precision@3,context_recall@3,context_hits@5,context_precision@5,context_recall@5,context_hits@10,context_precision@10,context_recall@10,hits@1,precision@1,recall@1,hits@3,precision@3,recall@3,hits@5,precision@5,recall@5,hits@10,precision@10,recall@10,noise_ratio,model_label,train_setting,condition,reference,prediction,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
test_0,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,49,49,1,1.0,0.02040816326530612,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,1,1.0,0.02040816326530612,2,0.6666666666666666,0.04081632653061224,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,1,1.0,0.02040816326530612,2,0.6666666666666666,0.04081632653061224,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0.4,led_base,clean_trained,hard,"the short - term periodicities of the daily sunspot area fluctuations from august 1923 to october 1933 are discussed . for these data 
 the correlative analysis indicates negative correlation for the periodicity of about @xmath0 days , but the power spectrum analysis indicates a statistically significant peak in this time interval . 
 a new method of the diagnosis of an echo - effect in spectrum is proposed and it is stated that the 155-day periodicity is a harmonic of the periodicities from the interval of @xmath1 $ ] days .    the autocorrelation functions for the daily sunspot area fluctuations and for the fluctuations of the one rotation time interval in the northern hemisphere , separately for the whole solar cycle 16 and for the maximum activity period of this cycle do not show differences , especially in the interval of @xmath2 $ ] days . 
 it proves against the thesis of the existence of strong positive fluctuations of the about @xmath0-day interval in the maximum activity period of the solar cycle 16 in the northern hemisphere . 
 however , a similar analysis for data from the southern hemisphere indicates that there is the periodicity of about @xmath0 days in sunspot area data in the maximum activity period of the cycle 16 only .","we present the full supersymmetric lagrangian of the abelian higgs model in unitary gauge, following the notation of ref. 
 kamada and f. takahashi for the [ oiii]@xmath0 and [ oiv]@xcite for the hard x - ray and the optical emission line luminosities in local agns.    in particular, we compare the hard and the hard emission lines in local and agns with the nls1-like smbh masses.",0.1590909090909091,0.022900763358778626,0.15151515151515152,0.8179105520248413,0.8028615713119507,0.8103162050247192
test_1,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,55,55,1,1.0,0.01818181818181818,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,0.4,led_base,clean_trained,hard,"we study the detectability of circular polarization in a stochastic gravitational wave background from various sources such as supermassive black hole binaries , cosmic strings , and inflation in the early universe with pulsar timing arrays . 
 we calculate generalized overlap reduction functions for the circularly polarized stochastic gravitational wave background . 
 we find that the circular polarization can not be detected for an isotropic background . however , there is a chance to observe the circular polarization for an anisotropic gravitational wave background . 
 we also show how to separate polarized gravitational waves from unpolarized gravitational waves .","we present the results of a detailed analysis of the spectral properties of the white dwarf bpm 27606. 
 the spectral characteristics of bpm  27606 are obtained by using a 2.0 arcsec @xmath0  arcmin slit rotated by 71@xmath1  arcsec, and a 1.0    1.5   0.3   2.5 in   3.5 cm   4.5 mm   5.5 m  , 4.0 in  3 cm , 3.0 cm  2.5 in",0.13580246913580246,0.0,0.09876543209876544,0.7857633829116821,0.8235557675361633,0.8042157888412476
test_2,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,21,21,1,1.0,0.047619047619047616,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,0,0.0,0.0,2,0.6666666666666666,0.09523809523809523,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0,0.0,0.0,2,0.6666666666666666,0.09523809523809523,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0.4,led_base,clean_trained,hard,"starting from the wkb approximation , a new barrier penetration formula is proposed for potential barriers containing a long - range coulomb interaction . 
 this formula is especially proper for the barrier penetration with penetration energy much lower than the coulomb barrier . 
 the penetrabilities calculated from the new formula agree well with the results from the wkb method . as a first attempt , 
 this new formula is used to evaluate @xmath0 decay half - lives of atomic nuclei and a good agreement with the experiment is obtained .","we study the dynamics of a spherical nuclei in the presence of a coulomb barrier. 
 we use the parabolic approximation and the parabola approximation for the penetration of the barrier to investigate the effects of the coulombs on the cross section of the nuclear cross section. in this way 
, we obtain the results for the penetrability of the fusion cross section at energies around or above @xmath0.",0.38926174496644295,0.08163265306122448,0.21476510067114093,0.8907774090766907,0.8651015162467957,0.8777517676353455
test_3,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,31,31,1,1.0,0.03225806451612903,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,1,1.0,0.03225806451612903,2,0.6666666666666666,0.06451612903225806,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,1,1.0,0.03225806451612903,2,0.6666666666666666,0.06451612903225806,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,0.4,led_base,clean_trained,hard,"we study a novel class of numerical integrators , the adapted nested force - gradient schemes , used within the molecular dynamics step of the hybrid monte carlo ( hmc ) algorithm . 
 we test these methods in the schwinger model on the lattice , a well known benchmark problem . 
 we derive the analytical basis of nested force - gradient type methods and demonstrate the advantage of the proposed approach , namely reduced computational costs compared with other numerical integration schemes in hmc .","we present a novel numerical scheme for molecular energy converters based on the 2-dimensional schwinger model. 
 the proposed scheme is based on a two - dimensional schwarz model with a phonon coupling and a molecular vibrational coupling, and is suitable for molecular dynamics simulations.    in addition, the scheme can be applied to a wide range of molecular dynamics problems, including quantum dot models, quantum dot simulations, and quantum dot systems.  in particular, we show that the proposed method can be used to efficiently integrate molecular energy into molecular dynamics calculations.",0.3292682926829268,0.06172839506172839,0.20731707317073172,0.8758668303489685,0.8654298186302185,0.8706170320510864
test_4,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,37,37,1,1.0,0.02702702702702703,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,0,0.0,0.0,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,0,0.0,0.0,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,0.4,led_base,clean_trained,hard,"new methods for obtaining functional equations for feynman integrals are presented . 
 application of these methods for finding functional equations for various one- and two- loop integrals described in detail . 
 it is shown that with the aid of functional equations feynman integrals in general kinematics can be expressed in terms of simpler integrals . 
 pacs numbers : 02.30.gp , 02.30.ks , 12.20.ds , 12.38.bx + keywords : feynman integrals , functional equations     +    derivation of functional equations for feynman integrals + from algebraic relations   +    * o.v . 
 tarasov * +   ii . 
 institut fr theoretische physik , universitt hamburg , + luruper chaussee 149 , 22761 hamburg , germany + and + joint institute for nuclear research , + 141980 dubna , russian federation + : otarasov@jinr.ru +","we present a complete analysis of the spectroscopic redshift distribution of the bright smg population. 
 we find that the redshift of the population is in reasonable agreement with that predicted by the galform semi - analytic model ( baugh et al.2005 ), which gives a median redshift @xmath0 for the population of the smg.    in addition, we find a significant increase in the redshifts of the submm population.",0.1590909090909091,0.0,0.11363636363636363,0.8391901254653931,0.7801052331924438,0.8085697293281555
test_5,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,34,34,1,1.0,0.029411764705882353,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,1,1.0,0.029411764705882353,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,1,1.0,0.029411764705882353,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0.4,led_base,clean_trained,hard,"in the hierarchical search for periodic sources of gravitational waves , the candidate selection , in the incoherent step , can be performed with hough transform procedures . in this paper 
 we analyze the problem of sensitivity loss due to discretization of the parameters space vs computing cost , comparing the properties of the sky hough procedure with those of a new frequency hough , which is based on a transformation from the _ time - observed frequency _ plane to the _ source frequency - spin down _ plane . 
 results on simulated peakmaps suggest various advantages in favor of the use of the frequency hough . the ones which show up to really make the difference are 1 ) the possibility to enhance the frequency resolution without relevantly affecting the computing cost . 
 this reduces the digitization effects ; 2 ) the excess of candidates due to local disturbances in some places of the sky map . 
 they do not affect the new analysis because each map is constructed for only one position in the sky . 
 + pacs . 
 numbers : 04.80nn,07.05kf,97.60jd","we present a new method to search for periodic gravitational waves in the universe. 
 the method is based on the biunivocal mapping of the hough map, which is the same as the one used in the previous method, but with a different spin down value for the parameter space of the peakmap. in this method 
, we find that the hugh map is not uniform, and that the spin down values for the peakmaps are not uniform.    in this paper, we show that in the case of periodic gravitational wave source candidates, the spin - down value of the map is uniform, i.e. it is the position of the source at a given time, and the spin-down value for each point in the humber map is also uniform.",0.4745762711864407,0.15699658703071673,0.23728813559322035,0.8657532334327698,0.8295474648475647,0.847263753414154
test_6,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,28,28,1,1.0,0.03571428571428571,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,1,1.0,0.03571428571428571,2,0.6666666666666666,0.07142857142857142,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,1,1.0,0.03571428571428571,2,0.6666666666666666,0.07142857142857142,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,0.4,led_base,clean_trained,hard,"i summarize what we have learned about the nature of stars that ultimately explode as core - collapse supernovae from the examination of images taken prior to the explosion . by registering pre - supernova and post - supernova images , usually taken at high resolution using either space - based optical detectors , or ground - based infrared detectors equipped with laser guide star adaptive optics systems , nearly three dozen core - collapse supernovae 
 have now had the properties of their progenitor stars either directly measured or ( more commonly ) constrained by establishing upper limits on their luminosities . 
 these studies enable direct comparison with stellar evolution models that , in turn , permit estimates of the progenitor stars physical characteristics to be made . 
 i review progenitor characteristics ( or constraints ) inferred from this work for each of the major core - collapse supernova types ( ii - plateau , ii - linear , iib , iin , ib / c ) , with a particular focus on the analytical techniques used and the processes through which conclusions have been drawn . 
 brief discussion of a few individual events is also provided , including sn 2005gl , a type iin supernova that is shown to have had an extremely luminous  and thus very massive  progenitor that exploded shortly after a violent , luminous blue variable - like eruption phase , contrary to standard theoretical predictions .","we present a review of the stellar evolution of the superconducting superconductor ( i.e., superconductors ) sne ii - p. 
 the main focus of the review is on the evolution of superconductivity in the stellar spectrum, and the implications of the observed magnetic moment and the magnetic field for the spectrum of sne iin and iib.",0.23938223938223935,0.038910505836575876,0.138996138996139,0.8427319526672363,0.7862839102745056,0.813529908657074
test_7,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,43,43,1,1.0,0.023255813953488372,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,0.4,led_base,clean_trained,hard,"we present a phenomenological study of the single - transverse spin asymmetry in azimuthal correlations of two jets produced nearly `` back - to - back '' in @xmath0 collisions at rhic . 
 we properly take into account the initial- and final - state interactions of partons that can generate this asymmetry in qcd hard - scattering . using distribution functions fitted to the existing single - spin data , we make predictions for various weighted single - spin asymmetries in dijet correlations that are now readily testable at rhic .","we investigate the role of parton distributions in the production of hadronic single - spin quarks at rhic. 
 we show that the sivers effect plays an important role in qcd, beyond giving rise to phenomenological functions to be used in the description of single - nucleon phenomena.    in particular, we discuss a related type of sigma in dijet production at rhics.",0.45255474452554745,0.1037037037037037,0.291970802919708,0.8785800933837891,0.8600852489471436,0.8692343235015869
test_8,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,35,35,1,1.0,0.02857142857142857,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,1,1.0,0.02857142857142857,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,1,1.0,0.02857142857142857,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0.4,led_base,clean_trained,hard,"kingman s coalescent is a random tree that arises from classical population genetic models such as the moran model . 
 the individuals alive in these models correspond to the leaves in the tree and the following two laws of large numbers concerning the structure of the tree - top are well - known : ( i ) the ( shortest ) distance , denoted by @xmath0 , from the tree - top to the level when there are @xmath1 lines in the tree satisfies @xmath2 almost surely ; ( ii ) at time @xmath0 , the population is naturally partitioned in exactly @xmath1 families where individuals belong to the same family if they have a common ancestor at time @xmath0 in the past . if @xmath3 denotes the size of the @xmath4th family , then @xmath5 almost surely . for both laws of large numbers 
 we prove corresponding large deviations results . for ( i ) , the rate of the large deviations is @xmath1 and we can give the rate function explicitly . for ( ii ) , the rate is @xmath1 for downwards deviations and @xmath6 for upwards deviations . for both cases 
 we give the exact rate function . 
 =     =    =     =","we investigate the molecular dissociation of no on the cu atomic layer. 
 we find that the molecular adsorption energy of no is larger than that found for cu - bulk surfaces or cu - tl atomic structures.",0.10526315789473685,0.0,0.07655502392344497,0.8343266248703003,0.7376582622528076,0.7830201983451843
test_9,test,noisy,cross_doc_hard,cross_doc_hard,2,5,5,3,3,71,71,1,1.0,0.014084507042253521,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,1,1.0,0.014084507042253521,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,1,1.0,0.014084507042253521,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0.4,led_base,clean_trained,hard,"we discuss several novel types of multi - component ( temporal and spatial ) envelope solitary waves that appear in fiber and waveguide nonlinear optics . 
 in particular , we describe multi - channel solitary waves in bit - parallel - wavelength fiber transmission systems for high performance computer networks , multi - colour parametric spatial solitary waves due to cascaded nonlinearities of quadratic materials , and quasiperiodic envelope solitons due to quasi - phase - matching in fibonacci optical superlattices .    2","we study the energy dissipation of tidally excited modes associated with their nonlinear interactions. 
 we find that the energy dissipates in the presence of nonlinearity, and that the change in orbital period for the protostar is due to a weak nonlinear coupling.    in addition, we find a nonlinear nonlinear phase matching between the parametrically interacting waves.  in particular, we show that the nonlinear behavior of the non - linear coupling can be compensated by a weak coupling.",0.27586206896551724,0.06993006993006994,0.1793103448275862,0.8740312457084656,0.8449979424476624,0.859269380569458
