n_pairs,mean_diff,median_diff,std_diff,cohen_dz,cliffs_delta,rank_biserial,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,bootstrap_ci95_low,bootstrap_ci95_high,normality_stat,normality_p,normality_test,comparison,architecture,test_file,condition,metric,mean_noiseaware,mean_clean_matched,positive_means,metric_direction,paired_t_p_holm,wilcoxon_p_holm
500,-0.009223095980343569,-0.008926056699336077,0.055657048380909444,-0.1657129914116524,-0.080128,-0.20233852916696968,-3.705455135512936,0.00023461036941049864,49356.5,9.288675608989283e-05,-0.014139055310166774,-0.004433179232763779,0.9956623997775981,0.1818664853805762,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,rouge1,0.3153351386717712,0.3245582346521148,noise-aware higher; check metric_direction,higher_is_better,0.028857075437491334,0.011517957755146711
500,-0.003596584299761699,-0.0044283705043198784,0.030700760137365474,-0.1171496824075162,-0.04126,-0.13878051772788616,-2.6195465340571746,0.009072734773833468,52648.5,0.007525475643712168,-0.006298662490485032,-0.0009608754704022864,0.997388394419602,0.6222247788430268,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,rouge2,0.08300627321458667,0.08660285751434837,noise-aware higher; check metric_direction,higher_is_better,0.8800552730618465,0.7977004182334898
500,-0.005326439988590231,-0.0070725073628644525,0.03162509469703461,-0.16842447555073015,-0.07438,-0.20303257116642925,-3.7660857640618395,0.00018559336380033603,49512.0,8.644021093860913e-05,-0.008083394516621992,-0.002583121879127634,0.9958442963591236,0.210324568807653,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,rougeL,0.18964640689882542,0.19497284688741565,noise-aware higher; check metric_direction,higher_is_better,0.023199170475042004,0.01097790678920336
500,-0.005326439988590231,-0.0070725073628644525,0.03162509469703461,-0.16842447555073015,-0.07438,-0.20303257116642925,-3.7660857640618395,0.00018559336380033603,49512.0,8.644021093860913e-05,-0.008083394516621992,-0.002583121879127634,0.9958442963591236,0.210324568807653,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,rougeLsum,0.18964640689882542,0.19497284688741565,noise-aware higher; check metric_direction,higher_is_better,0.023199170475042004,0.01097790678920336
500,-0.00153989839553833,-0.000949859619140625,0.009570964497179101,-0.1608927079389117,-0.058576,-0.18128626731374395,-3.5976703203542666,0.0003530813810859345,50863.0,0.00045605557963362844,-0.0023725305289030076,-0.0006996019780635834,0.9788706837136724,1.212265789357716e-06,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,bertscore_f1,0.8379011156558991,0.8394410140514373,noise-aware higher; check metric_direction,higher_is_better,0.04166360296814027,0.05381455839676816
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,entity_f1_ref,0.0,0.0,noise-aware higher; check metric_direction,higher_is_better,,
0,,,,,,,,,,,,,,,,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,source_supported_entity_rate,,,noise-aware higher; check metric_direction,higher_is_better,,
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,unsupported_entity_rate,0.0,0.0,noise-aware higher; check metric_direction,lower_is_better,,
500,-0.0065118400389298225,0.0,0.06790752081120188,-0.09589276653221071,-0.006432,-0.49523809523809526,-2.1442274451653995,0.03249710033079635,53.0,0.05193518629945224,-0.012949235588972432,-0.0009915803602142644,0.18183759776394748,7.427321358350395e-42,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,number_f1_ref,0.018788243043506198,0.02530008308243602,noise-aware higher; check metric_direction,higher_is_better,1.0,1.0
500,-0.0024000000000000002,0.0,0.17543347719563965,-0.013680399193841274,0.00558,-0.05169340463458111,-0.3059030255676241,0.7598060601372031,266.0,0.7945419865296768,-0.018034166666666664,0.012800833333333322,0.2921157463959615,7.885023242911047e-40,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,unsupported_number_rate,0.025,0.027399999999999997,noise-aware higher; check metric_direction,lower_is_better,1.0,1.0
500,0.019150595214279774,0.015456282847587266,0.13549198639847523,0.14134116506314123,0.067608,0.18342755258110038,3.1604845310020218,0.0016707448924174043,48317.0,0.0004587088265420458,0.007487141548760136,0.031000920834286353,0.9790226643825821,1.319906976327337e-06,shapiro,noiseaware_minus_clean_matched,BART-base,test_clean.jsonl,clean,source_token_support_rate,0.7294655856466543,0.7103149904323744,noise-aware higher; check metric_direction,higher_is_better,0.18378193816591448,0.05381455839676816
