paper_id,split,sample_type,noise_mode,noise_source,num_noise_chunks,num_contexts,num_context_chunks_eval,num_documents_in_context,num_retrieved_chunks,num_relevant_chunks,num_chunks_total_in_paper,retrieval_hits@1,retrieval_precision@1,retrieval_recall@1,retrieval_hits@3,retrieval_precision@3,retrieval_recall@3,retrieval_hits@5,retrieval_precision@5,retrieval_recall@5,retrieval_hits@10,retrieval_precision@10,retrieval_recall@10,context_hits@1,context_precision@1,context_recall@1,context_hits@3,context_precision@3,context_recall@3,context_hits@5,context_precision@5,context_recall@5,context_hits@10,context_precision@10,context_recall@10,hits@1,precision@1,recall@1,hits@3,precision@3,recall@3,hits@5,precision@5,recall@5,hits@10,precision@10,recall@10,noise_ratio,model_label,train_setting,condition,reference,prediction,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
test_0,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,49,49,1,1.0,0.02040816326530612,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0.4,led_base,clean_trained,easy,"the short - term periodicities of the daily sunspot area fluctuations from august 1923 to october 1933 are discussed . for these data 
 the correlative analysis indicates negative correlation for the periodicity of about @xmath0 days , but the power spectrum analysis indicates a statistically significant peak in this time interval . 
 a new method of the diagnosis of an echo - effect in spectrum is proposed and it is stated that the 155-day periodicity is a harmonic of the periodicities from the interval of @xmath1 $ ] days .    the autocorrelation functions for the daily sunspot area fluctuations and for the fluctuations of the one rotation time interval in the northern hemisphere , separately for the whole solar cycle 16 and for the maximum activity period of this cycle do not show differences , especially in the interval of @xmath2 $ ] days . 
 it proves against the thesis of the existence of strong positive fluctuations of the about @xmath0-day interval in the maximum activity period of the solar cycle 16 in the northern hemisphere . 
 however , a similar analysis for data from the southern hemisphere indicates that there is the periodicity of about @xmath0 days in sunspot area data in the maximum activity period of the cycle 16 only .","we present a new algorithm for the analysis of the spectral line catalogs of low frequency periodicities. 
 the algorithm is based on a self - randomized modulation code and is optimized for the time domain of moderate @xmath0. in this paper 
 we present the results of the analysis and the design of an enhanced version of the algorithm.",0.24218750000000003,0.06299212598425197,0.1875,0.8651695251464844,0.7927378416061401,0.8273714780807495
test_1,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,55,55,1,1.0,0.01818181818181818,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,0.4,led_base,clean_trained,easy,"we study the detectability of circular polarization in a stochastic gravitational wave background from various sources such as supermassive black hole binaries , cosmic strings , and inflation in the early universe with pulsar timing arrays . 
 we calculate generalized overlap reduction functions for the circularly polarized stochastic gravitational wave background . 
 we find that the circular polarization can not be detected for an isotropic background . however , there is a chance to observe the circular polarization for an anisotropic gravitational wave background . 
 we also show how to separate polarized gravitational waves from unpolarized gravitational waves .","we consider the generalized marcum _ q_-function of order @xmath0 for a single pulsar. 
 we show that, for a given pulsar, the regularized lower incomplete gamma function with @xxmath1 is strictly increasing monotonically with respect to its real order.",0.26153846153846155,0.0,0.16923076923076924,0.849249541759491,0.8377885818481445,0.843480110168457
test_2,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,21,21,1,1.0,0.047619047619047616,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0.4,led_base,clean_trained,easy,"starting from the wkb approximation , a new barrier penetration formula is proposed for potential barriers containing a long - range coulomb interaction . 
 this formula is especially proper for the barrier penetration with penetration energy much lower than the coulomb barrier . 
 the penetrabilities calculated from the new formula agree well with the results from the wkb method . as a first attempt , 
 this new formula is used to evaluate @xmath0 decay half - lives of atomic nuclei and a good agreement with the experiment is obtained .","we study the dynamics of a spherical system with a mass distribution @xmath0. 
 we show that the orbital eccentricity and inclination of the system is determined by the dynamical friction of the planetesimals, and that the perturbation of the orbital inclination is governed by the standard gauss planetary equations of first order.",0.25373134328358204,0.0,0.16417910447761194,0.8554523587226868,0.8377916216850281,0.8465299010276794
test_3,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,31,31,1,1.0,0.03225806451612903,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,0.4,led_base,clean_trained,easy,"we study a novel class of numerical integrators , the adapted nested force - gradient schemes , used within the molecular dynamics step of the hybrid monte carlo ( hmc ) algorithm . 
 we test these methods in the schwinger model on the lattice , a well known benchmark problem . 
 we derive the analytical basis of nested force - gradient type methods and demonstrate the advantage of the proposed approach , namely reduced computational costs compared with other numerical integration schemes in hmc .","we present a numerical study of the fermion determinant of a two - dimensional superconducting superconductor. 
 we find that the system is sensitive to the presence of a hill, and that the hill working range of the superconductors is large enough to be sensitive to its hill coefficient. in addition, 
 the system s hill coefficient, which is the average of the hill coefficient of the system, can be calculated by using the sexton - weingarten integrator of second order for the slow action, and the hill work range of module 1, which can be used to calculate the hill coefficients.    in particular, we find a numerical scheme for the hmc algorithm which can provide a sufficiently high acceptance rate during the evolution.",0.288659793814433,0.03125,0.19587628865979378,0.8394042253494263,0.8407233953475952,0.8400632739067078
test_4,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,37,37,1,1.0,0.02702702702702703,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,0.4,led_base,clean_trained,easy,"new methods for obtaining functional equations for feynman integrals are presented . 
 application of these methods for finding functional equations for various one- and two- loop integrals described in detail . 
 it is shown that with the aid of functional equations feynman integrals in general kinematics can be expressed in terms of simpler integrals . 
 pacs numbers : 02.30.gp , 02.30.ks , 12.20.ds , 12.38.bx + keywords : feynman integrals , functional equations     +    derivation of functional equations for feynman integrals + from algebraic relations   +    * o.v . 
 tarasov * +   ii . 
 institut fr theoretische physik , universitt hamburg , + luruper chaussee 149 , 22761 hamburg , germany + and + joint institute for nuclear research , + 141980 dubna , russian federation + : otarasov@jinr.ru +","in this paper, we study the problem of constructing a set of equivalence classes of @xmath0 propagators in the domain whisker. 
 we show that the equivalence class of the equivalences classes is a function of the degree of the scalar operator of the domain of the separable separable operator.",0.12578616352201258,0.0,0.10062893081761005,0.8528481721878052,0.7498511075973511,0.7980400919914246
test_5,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,34,34,1,1.0,0.029411764705882353,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0.4,led_base,clean_trained,easy,"in the hierarchical search for periodic sources of gravitational waves , the candidate selection , in the incoherent step , can be performed with hough transform procedures . in this paper 
 we analyze the problem of sensitivity loss due to discretization of the parameters space vs computing cost , comparing the properties of the sky hough procedure with those of a new frequency hough , which is based on a transformation from the _ time - observed frequency _ plane to the _ source frequency - spin down _ plane . 
 results on simulated peakmaps suggest various advantages in favor of the use of the frequency hough . the ones which show up to really make the difference are 1 ) the possibility to enhance the frequency resolution without relevantly affecting the computing cost . 
 this reduces the digitization effects ; 2 ) the excess of candidates due to local disturbances in some places of the sky map . 
 they do not affect the new analysis because each map is constructed for only one position in the sky . 
 + pacs . 
 numbers : 04.80nn,07.05kf,97.60jd","we present a new method for the search of periodic gravitational wave source candidates using the pauli channel to higher dimensional hilbert spaces. 
 the method is based on the hough map, which is a mapping of the plane of the universe. in this method 
, we obtain the spin - down value of the spin down value for the parameter space of the system, and we compute its spin - up value for each parameter space.    in addition, we compute the spin-down value of a given parameter space, and compare it with the spin up value of @xmath0.  in particular, we find that the spin decay of the parameter spaces is much smaller than that of the ground state.",0.4295774647887324,0.10638297872340427,0.23943661971830987,0.863172709941864,0.8249667286872864,0.8436373472213745
test_6,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,28,28,1,1.0,0.03571428571428571,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,0.4,led_base,clean_trained,easy,"i summarize what we have learned about the nature of stars that ultimately explode as core - collapse supernovae from the examination of images taken prior to the explosion . by registering pre - supernova and post - supernova images , usually taken at high resolution using either space - based optical detectors , or ground - based infrared detectors equipped with laser guide star adaptive optics systems , nearly three dozen core - collapse supernovae 
 have now had the properties of their progenitor stars either directly measured or ( more commonly ) constrained by establishing upper limits on their luminosities . 
 these studies enable direct comparison with stellar evolution models that , in turn , permit estimates of the progenitor stars physical characteristics to be made . 
 i review progenitor characteristics ( or constraints ) inferred from this work for each of the major core - collapse supernova types ( ii - plateau , ii - linear , iib , iin , ib / c ) , with a particular focus on the analytical techniques used and the processes through which conclusions have been drawn . 
 brief discussion of a few individual events is also provided , including sn 2005gl , a type iin supernova that is shown to have had an extremely luminous  and thus very massive  progenitor that exploded shortly after a violent , luminous blue variable - like eruption phase , contrary to standard theoretical predictions .","we review the implications of a block - based compression scheme for the production of high - resolution images of the supermassive black hole ( sn ). 
 the proposed compression scheme is based on the idea that the image compression method can be used to compress the image of the black hole. in this paper 
, we discuss the validity and influence of this proposed compression method on the mass cutoff for direct collapse to black holes.",0.27436823104693137,0.03636363636363637,0.12996389891696752,0.8560736775398254,0.7877824902534485,0.8205095529556274
test_7,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,43,43,1,1.0,0.023255813953488372,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,0.4,led_base,clean_trained,easy,"we present a phenomenological study of the single - transverse spin asymmetry in azimuthal correlations of two jets produced nearly `` back - to - back '' in @xmath0 collisions at rhic . 
 we properly take into account the initial- and final - state interactions of partons that can generate this asymmetry in qcd hard - scattering . using distribution functions fitted to the existing single - spin data , we make predictions for various weighted single - spin asymmetries in dijet correlations that are now readily testable at rhic .","we study the effect of parton distributions on the transverse momentum of a nucleon in the presence of a transverse momenta of partons. 
 we show that the effects of the sivers effect on the parton spin vector, its momentum, and the transversely polarized parton momentum can be explained by a phenomenological function @xmath0, which is the result of the jacod and protter s result @xcite.",0.2937062937062937,0.0425531914893617,0.19580419580419578,0.8739650845527649,0.8397530913352966,0.8565175533294678
test_8,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,35,35,1,1.0,0.02857142857142857,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0.4,led_base,clean_trained,easy,"kingman s coalescent is a random tree that arises from classical population genetic models such as the moran model . 
 the individuals alive in these models correspond to the leaves in the tree and the following two laws of large numbers concerning the structure of the tree - top are well - known : ( i ) the ( shortest ) distance , denoted by @xmath0 , from the tree - top to the level when there are @xmath1 lines in the tree satisfies @xmath2 almost surely ; ( ii ) at time @xmath0 , the population is naturally partitioned in exactly @xmath1 families where individuals belong to the same family if they have a common ancestor at time @xmath0 in the past . if @xmath3 denotes the size of the @xmath4th family , then @xmath5 almost surely . for both laws of large numbers 
 we prove corresponding large deviations results . for ( i ) , the rate of the large deviations is @xmath1 and we can give the rate function explicitly . for ( ii ) , the rate is @xmath1 for downwards deviations and @xmath6 for upwards deviations . for both cases 
 we give the exact rate function . 
 =     =    =     =","we present a new method for reconstructing the energy distribution of shower particles in a random metric space. 
 the method is based on the fenchel - legendre transform of the energy scale of the shower particles and the energy of the core position of the showers.    the method allows us to reconstruct the energy distributions of shower particle in the same way as in the previous methods.",0.25000000000000006,0.06722689075630252,0.16666666666666666,0.8504876494407654,0.7571951746940613,0.8011345863342285
test_9,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,71,71,1,1.0,0.014084507042253521,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0.4,led_base,clean_trained,easy,"we discuss several novel types of multi - component ( temporal and spatial ) envelope solitary waves that appear in fiber and waveguide nonlinear optics . 
 in particular , we describe multi - channel solitary waves in bit - parallel - wavelength fiber transmission systems for high performance computer networks , multi - colour parametric spatial solitary waves due to cascaded nonlinearities of quadratic materials , and quasiperiodic envelope solitons due to quasi - phase - matching in fibonacci optical superlattices .    2","we study the nonlinearity of the optical propagation of pulses in a two - mode soliton. 
 we show that the non - linearity of pulses is not always well modeled by a simple linear theory, but rather by a cubic nls equation describing the propagation in a single - wavelength soliton with a narrow - line branch and a straight line branch with a thick solid curve. in the case of a short - distance pulse, 
 the propagation is always weak and it is always in the vicinity of a bifurcation point in the direction of a linear limit in the presence of a nonlinear mode coupling.",0.19883040935672516,0.01183431952662722,0.1286549707602339,0.8486132621765137,0.8370408415794373,0.8427872657775879
