paper_id,split,sample_type,noise_mode,noise_source,num_noise_chunks,num_contexts,num_context_chunks_eval,num_documents_in_context,num_retrieved_chunks,num_relevant_chunks,num_chunks_total_in_paper,retrieval_hits@1,retrieval_precision@1,retrieval_recall@1,retrieval_hits@3,retrieval_precision@3,retrieval_recall@3,retrieval_hits@5,retrieval_precision@5,retrieval_recall@5,retrieval_hits@10,retrieval_precision@10,retrieval_recall@10,context_hits@1,context_precision@1,context_recall@1,context_hits@3,context_precision@3,context_recall@3,context_hits@5,context_precision@5,context_recall@5,context_hits@10,context_precision@10,context_recall@10,hits@1,precision@1,recall@1,hits@3,precision@3,recall@3,hits@5,precision@5,recall@5,hits@10,precision@10,recall@10,noise_ratio,model_label,train_setting,condition,reference,prediction,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
test_0,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,49,49,1,1.0,0.02040816326530612,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0.4,t5_base,clean_trained,easy,"the short - term periodicities of the daily sunspot area fluctuations from august 1923 to october 1933 are discussed . for these data 
 the correlative analysis indicates negative correlation for the periodicity of about @xmath0 days , but the power spectrum analysis indicates a statistically significant peak in this time interval . 
 a new method of the diagnosis of an echo - effect in spectrum is proposed and it is stated that the 155-day periodicity is a harmonic of the periodicities from the interval of @xmath1 $ ] days .    the autocorrelation functions for the daily sunspot area fluctuations and for the fluctuations of the one rotation time interval in the northern hemisphere , separately for the whole solar cycle 16 and for the maximum activity period of this cycle do not show differences , especially in the interval of @xmath2 $ ] days . 
 it proves against the thesis of the existence of strong positive fluctuations of the about @xmath0-day interval in the maximum activity period of the solar cycle 16 in the northern hemisphere . 
 however , a similar analysis for data from the southern hemisphere indicates that there is the periodicity of about @xmath0 days in sunspot area data in the maximum activity period of the cycle 16 only .","we present a new algorithm for a self - randomized modulation code which uses cells to store a random variable @xmath0. the algorithm is asymptotically optimal as @xmh1, but the maximum number of rewrites can not be achieved for moderate @xmmh0 and the minimum number of repetitions is not achieved. we show that the algorithm can be used to verify a reality of peaks which are computed using a method giving the better resolution of the periodogram points.",0.21739130434782608,0.03649635036496351,0.13768115942028986,0.8461843729019165,0.7962439656257629,0.8204548358917236
test_1,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,55,55,1,1.0,0.01818181818181818,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,0.4,t5_base,clean_trained,easy,"we study the detectability of circular polarization in a stochastic gravitational wave background from various sources such as supermassive black hole binaries , cosmic strings , and inflation in the early universe with pulsar timing arrays . 
 we calculate generalized overlap reduction functions for the circularly polarized stochastic gravitational wave background . 
 we find that the circular polarization can not be detected for an isotropic background . however , there is a chance to observe the circular polarization for an anisotropic gravitational wave background . 
 we also show how to separate polarized gravitational waves from unpolarized gravitational waves .","we study the generalized _ q_-functions _ of the _ @xmath0-order harmonic numbers of the first kind, which are generalized by the ordinary _ non - harmonic number sequences. we find that the corresponding _ normalized q - function _ is a generalized generalized triangle of stirling numbers.",0.22556390977443608,0.0916030534351145,0.19548872180451127,0.840254545211792,0.8230318427085876,0.8315540552139282
test_2,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,21,21,1,1.0,0.047619047619047616,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0.4,t5_base,clean_trained,easy,"starting from the wkb approximation , a new barrier penetration formula is proposed for potential barriers containing a long - range coulomb interaction . 
 this formula is especially proper for the barrier penetration with penetration energy much lower than the coulomb barrier . 
 the penetrabilities calculated from the new formula agree well with the results from the wkb method . as a first attempt , 
 this new formula is used to evaluate @xmath0 decay half - lives of atomic nuclei and a good agreement with the experiment is obtained .","we study the spherical nuclei, which are a type of syw - n02 and kjcx2-sw, in order to determine the dr non lives. we find that the asymmetry of the nucleus, @xmath0, is inversely proportional to the corresponding s wave.",0.21311475409836067,0.0,0.13114754098360656,0.8512508869171143,0.8220822215080261,0.8364123106002808
test_3,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,31,31,1,1.0,0.03225806451612903,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,0.4,t5_base,clean_trained,easy,"we study a novel class of numerical integrators , the adapted nested force - gradient schemes , used within the molecular dynamics step of the hybrid monte carlo ( hmc ) algorithm . 
 we test these methods in the schwinger model on the lattice , a well known benchmark problem . 
 we derive the analytical basis of nested force - gradient type methods and demonstrate the advantage of the proposed approach , namely reduced computational costs compared with other numerical integration schemes in hmc .","we present a numerical scheme for the hd 209409 - 54688.806 - s1/e1, which approximates the fast action by leaps frog steps of step size @xmath0. the scheme is adapted to perform numerical calculations for the high - frequency parts of the system.",0.25862068965517243,0.03508771929824561,0.18965517241379312,0.8422101736068726,0.8332916498184204,0.8377271890640259
test_4,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,37,37,1,1.0,0.02702702702702703,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,0.4,t5_base,clean_trained,easy,"new methods for obtaining functional equations for feynman integrals are presented . 
 application of these methods for finding functional equations for various one- and two- loop integrals described in detail . 
 it is shown that with the aid of functional equations feynman integrals in general kinematics can be expressed in terms of simpler integrals . 
 pacs numbers : 02.30.gp , 02.30.ks , 12.20.ds , 12.38.bx + keywords : feynman integrals , functional equations     +    derivation of functional equations for feynman integrals + from algebraic relations   +    * o.v . 
 tarasov * +   ii . 
 institut fr theoretische physik , universitt hamburg , + luruper chaussee 149 , 22761 hamburg , germany + and + joint institute for nuclear research , + 141980 dubna , russian federation + : otarasov@jinr.ru +",we present a functional equation for the vertex type integral @xmath0. the function @xcite is derived from the recurrence relations of @xmc.,0.1818181818181818,0.03076923076923077,0.15151515151515152,0.8456067442893982,0.7472277879714966,0.7933791875839233
test_5,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,34,34,1,1.0,0.029411764705882353,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0.4,t5_base,clean_trained,easy,"in the hierarchical search for periodic sources of gravitational waves , the candidate selection , in the incoherent step , can be performed with hough transform procedures . in this paper 
 we analyze the problem of sensitivity loss due to discretization of the parameters space vs computing cost , comparing the properties of the sky hough procedure with those of a new frequency hough , which is based on a transformation from the _ time - observed frequency _ plane to the _ source frequency - spin down _ plane . 
 results on simulated peakmaps suggest various advantages in favor of the use of the frequency hough . the ones which show up to really make the difference are 1 ) the possibility to enhance the frequency resolution without relevantly affecting the computing cost . 
 this reduces the digitization effects ; 2 ) the excess of candidates due to local disturbances in some places of the sky map . 
 they do not affect the new analysis because each map is constructed for only one position in the sky . 
 + pacs . 
 numbers : 04.80nn,07.05kf,97.60jd","we study the biunivocal mapping of the hough map, i.e., the mapping of which points of the peakmap derive from a single point in the peak map. we show that the mapping is uniform, and that the maps are uniform.",0.21153846153846156,0.03883495145631068,0.15384615384615385,0.8518503308296204,0.7805266380310059,0.814630389213562
test_6,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,28,28,1,1.0,0.03571428571428571,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,0.4,t5_base,clean_trained,easy,"i summarize what we have learned about the nature of stars that ultimately explode as core - collapse supernovae from the examination of images taken prior to the explosion . by registering pre - supernova and post - supernova images , usually taken at high resolution using either space - based optical detectors , or ground - based infrared detectors equipped with laser guide star adaptive optics systems , nearly three dozen core - collapse supernovae 
 have now had the properties of their progenitor stars either directly measured or ( more commonly ) constrained by establishing upper limits on their luminosities . 
 these studies enable direct comparison with stellar evolution models that , in turn , permit estimates of the progenitor stars physical characteristics to be made . 
 i review progenitor characteristics ( or constraints ) inferred from this work for each of the major core - collapse supernova types ( ii - plateau , ii - linear , iib , iin , ib / c ) , with a particular focus on the analytical techniques used and the processes through which conclusions have been drawn . 
 brief discussion of a few individual events is also provided , including sn 2005gl , a type iin supernova that is shown to have had an extremely luminous  and thus very massive  progenitor that exploded shortly after a violent , luminous blue variable - like eruption phase , contrary to standard theoretical predictions .","we present the results of the recent review of the cc sne iii - p, iin - plateau, and the spectral and photometric evidence for interaction between the ejecta and a dense circumstellar medium ( csm ). we discuss the implications of the proposed method, which can readily be used to establish a block based compression scheme.",0.2093023255813954,0.0234375,0.12403100775193798,0.8411871194839478,0.7795542478561401,0.809198796749115
test_7,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,43,43,1,1.0,0.023255813953488372,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,0.4,t5_base,clean_trained,easy,"we present a phenomenological study of the single - transverse spin asymmetry in azimuthal correlations of two jets produced nearly `` back - to - back '' in @xmath0 collisions at rhic . 
 we properly take into account the initial- and final - state interactions of partons that can generate this asymmetry in qcd hard - scattering . using distribution functions fitted to the existing single - spin data , we make predictions for various weighted single - spin asymmetries in dijet correlations that are now readily testable at rhic .",we study the asymmetry in the @xmath0-dimensional brownian motion of the eulerian and lagrangian coordinates. we show that a similar type of ssa is found in the rhic - @xcite.,0.2962962962962963,0.03773584905660377,0.2222222222222222,0.880414605140686,0.8338435888290405,0.8564965128898621
test_8,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,35,35,1,1.0,0.02857142857142857,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0.4,t5_base,clean_trained,easy,"kingman s coalescent is a random tree that arises from classical population genetic models such as the moran model . 
 the individuals alive in these models correspond to the leaves in the tree and the following two laws of large numbers concerning the structure of the tree - top are well - known : ( i ) the ( shortest ) distance , denoted by @xmath0 , from the tree - top to the level when there are @xmath1 lines in the tree satisfies @xmath2 almost surely ; ( ii ) at time @xmath0 , the population is naturally partitioned in exactly @xmath1 families where individuals belong to the same family if they have a common ancestor at time @xmath0 in the past . if @xmath3 denotes the size of the @xmath4th family , then @xmath5 almost surely . for both laws of large numbers 
 we prove corresponding large deviations results . for ( i ) , the rate of the large deviations is @xmath1 and we can give the rate function explicitly . for ( ii ) , the rate is @xmath1 for downwards deviations and @xmath6 for upwards deviations . for both cases 
 we give the exact rate function . 
 =     =    =     =","we present the results of a survey of the zenith angle and the lateral distribution of the shower particles in the sd array. we show that the eas reconstruction efficiency is greater than 98%, including the assumption that the core position is within 1200 m of the array boundary.",0.19730941704035876,0.04524886877828054,0.13452914798206278,0.8419816493988037,0.7347685098648071,0.7847300171852112
test_9,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,71,71,1,1.0,0.014084507042253521,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0.4,t5_base,clean_trained,easy,"we discuss several novel types of multi - component ( temporal and spatial ) envelope solitary waves that appear in fiber and waveguide nonlinear optics . 
 in particular , we describe multi - channel solitary waves in bit - parallel - wavelength fiber transmission systems for high performance computer networks , multi - colour parametric spatial solitary waves due to cascaded nonlinearities of quadratic materials , and quasiperiodic envelope solitons due to quasi - phase - matching in fibonacci optical superlattices .    2",we study the phase constraint on a channel asserted by a logical synchronization. we show that the phase constraints on the channel can be compared with conditions for einstein synchronisation.,0.12121212121212122,0.0,0.0808080808080808,0.8713694214820862,0.8030896186828613,0.8358374238014221
