n_pairs,mean_diff,median_diff,std_diff,cohen_dz,cliffs_delta,rank_biserial,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,bootstrap_ci95_low,bootstrap_ci95_high,normality_stat,normality_p,normality_test,comparison,model_key,architecture,train_setting,test_file,condition,metric,mean_noisy,mean_clean,retention_rate,absolute_degradation,relative_degradation,negative_mean_diff_means,metric_direction,paired_t_p_holm,wilcoxon_p_holm
500,-0.02931236173905829,-0.0275770193154269,0.06672982843443304,-0.4392692507498328,-0.227332,-0.4655588139459107,-9.822359051020266,6.172631416207304e-21,32804.0,2.837597459916703e-19,-0.03524100446614434,-0.023522920345807042,0.9859432220820276,9.397954782912453e-05,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,rouge1,0.2952458729130566,0.3245582346521148,0.9096853550165586,0.029312361739058213,0.09031464498344138,performance degradation under noise for higher-is-better metrics,higher_is_better,1.0184841836742052e-18,4.68203580886256e-17
500,-0.015714770676041354,-0.011941136941136927,0.03873766211694787,-0.40567163368297554,-0.187556,-0.43755081259084677,-9.071093494585266,2.711130699836797e-18,34245.0,3.8337390776600404e-17,-0.019164068681189427,-0.012386344362453467,0.9522927139095525,1.2606768077806291e-11,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,rouge2,0.07088808683830702,0.08660285751434837,0.8185421228919875,0.01571477067604135,0.1814578771080126,performance degradation under noise for higher-is-better metrics,higher_is_better,4.337809119738875e-16,6.057307742702864e-15
500,-0.015120354761691527,-0.014443991846551624,0.03828968005919276,-0.3948937347691774,-0.196024,-0.4410747147589253,-8.830092348326529,1.7789232610365105e-17,34168.5,1.9919217189187427e-17,-0.018495680520414146,-0.011779031106115587,0.9769771360010308,4.3120142126730763e-07,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,rougeL,0.17985249212572413,0.19497284688741565,0.9224489204364823,0.015120354761691518,0.07755107956351766,performance degradation under noise for higher-is-better metrics,higher_is_better,2.8106987524376866e-15,3.206993967459176e-15
500,-0.015120354761691527,-0.014443991846551624,0.03828968005919276,-0.3948937347691774,-0.196024,-0.4410747147589253,-8.830092348326529,1.7789232610365105e-17,34168.5,1.9919217189187427e-17,-0.018495680520414146,-0.011779031106115587,0.9769771360010308,4.3120142126730763e-07,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,rougeLsum,0.17985249212572413,0.19497284688741565,0.9224489204364823,0.015120354761691518,0.07755107956351766,performance degradation under noise for higher-is-better metrics,higher_is_better,2.8106987524376866e-15,3.206993967459176e-15
500,-0.007629439473152161,-0.005815863609313965,0.01254919064111824,-0.6079626719633858,-0.271068,-0.6215364476012702,-13.594458622925362,4.946179201686977e-36,23418.0,3.309739167597681e-33,-0.008744531244039537,-0.006530817618966103,0.973861005044068,8.668621782514181e-08,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,bertscore_f1,0.8318115745782853,0.8394410140514373,0.9909112857896594,0.007629439473152089,0.00908871421034068,performance degradation under noise for higher-is-better metrics,higher_is_better,8.853660771019689e-34,5.858238326647895e-31
500,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,constant_difference,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,entity_f1_ref,0.0,0.0,0.0,0.0,0.0,performance degradation under noise for higher-is-better metrics,higher_is_better,,
0,,,,,,,,,,,,,,,,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,source_supported_entity_rate,0.0,,,,,performance degradation under noise for higher-is-better metrics,higher_is_better,,
500,0.002,0.0,0.044721359549995794,0.044721359549995794,0.002,1.0,1.0,0.31779517611187164,0.0,0.31731050786291415,0.0,0.006,0.021116630061352892,1.943259599294236e-44,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,unsupported_entity_rate,0.002,0.0,0.0,-0.002,0.0,performance degradation under noise for higher-is-better metrics,lower_is_better,1.0,1.0
500,-0.00400738754268166,0.0,0.10429458588396213,-0.038423735122168935,-0.009924,-0.22792022792022792,-0.8591808368261592,0.3906532991821404,135.5,0.30939468564135275,-0.01343081137375255,0.005206963686375451,0.22426872275797283,4.189190135977851e-41,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,number_f1_ref,0.021292695539754363,0.02530008308243602,0.8416057556165224,0.004007387542681658,0.15839424438347757,performance degradation under noise for higher-is-better metrics,higher_is_better,1.0,1.0
500,-0.022733333333333335,0.0,0.16099873383260663,-0.1412019386249932,-0.030084,-0.7282608695652174,-3.1573713332023794,0.0016883297266433027,37.5,0.0019823978903586374,-0.03750166666666666,-0.009666666666666667,0.22388548572262146,4.122822840570595e-41,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,unsupported_number_rate,0.004666666666666666,0.027399999999999997,0.170316301703163,0.02273333333333333,0.829683698296837,performance degradation under noise for higher-is-better metrics,lower_is_better,0.15363800512454054,0.16850382068048417
500,0.06029363243513527,0.038977731884708655,0.17241385137623336,0.34970294993042844,0.195356,0.3659456740442656,7.819595679766434,3.174992341552326e-14,39075.5,1.6452488139960171e-12,0.04533320576628342,0.0753636051787723,0.9658245801818419,2.1756706582133613e-09,shapiro,noisy_minus_clean_test,bart_base_clean_matched,BART-base,clean_matched,test_noisy_easy_additive.jsonl,easy_additive,source_token_support_rate,0.7706086228675098,0.7103149904323744,1.0848829508700557,-0.0602936324351353,-0.08488295087005567,performance degradation under noise for higher-is-better metrics,higher_is_better,4.508489125004303e-12,2.3199565607654375e-10
