paper_id,split,sample_type,noise_mode,noise_source,num_noise_chunks,num_contexts,num_context_chunks_eval,num_documents_in_context,num_retrieved_chunks,num_relevant_chunks,num_chunks_total_in_paper,retrieval_hits@1,retrieval_precision@1,retrieval_recall@1,retrieval_hits@3,retrieval_precision@3,retrieval_recall@3,retrieval_hits@5,retrieval_precision@5,retrieval_recall@5,retrieval_hits@10,retrieval_precision@10,retrieval_recall@10,context_hits@1,context_precision@1,context_recall@1,context_hits@3,context_precision@3,context_recall@3,context_hits@5,context_precision@5,context_recall@5,context_hits@10,context_precision@10,context_recall@10,hits@1,precision@1,recall@1,hits@3,precision@3,recall@3,hits@5,precision@5,recall@5,hits@10,precision@10,recall@10,noise_ratio,model_label,train_setting,condition,reference,prediction,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
test_0,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,49,49,1,1.0,0.02040816326530612,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,3,1.0,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0,0.0,0.0,1,0.3333333333333333,0.02040816326530612,3,0.6,0.061224489795918366,3,0.6,0.061224489795918366,0.4,bart_base,clean_trained,easy,"the short - term periodicities of the daily sunspot area fluctuations from august 1923 to october 1933 are discussed . for these data 
 the correlative analysis indicates negative correlation for the periodicity of about @xmath0 days , but the power spectrum analysis indicates a statistically significant peak in this time interval . 
 a new method of the diagnosis of an echo - effect in spectrum is proposed and it is stated that the 155-day periodicity is a harmonic of the periodicities from the interval of @xmath1 $ ] days .    the autocorrelation functions for the daily sunspot area fluctuations and for the fluctuations of the one rotation time interval in the northern hemisphere , separately for the whole solar cycle 16 and for the maximum activity period of this cycle do not show differences , especially in the interval of @xmath2 $ ] days . 
 it proves against the thesis of the existence of strong positive fluctuations of the about @xmath0-day interval in the maximum activity period of the solar cycle 16 in the northern hemisphere . 
 however , a similar analysis for data from the southern hemisphere indicates that there is the periodicity of about @xmath0 days in sunspot area data in the maximum activity period of the cycle 16 only .","we present a new algorithm for the analysis of solar periodograms. 
 the algorithm is based on the self - randomized modulation code and is a good fit to the sun s spectral line catalogs. in this paper 
 we present the results of a detailed analysis of the solar periodogram catalogs and compare the results with those obtained from the suns spectral lines catalogs in the solar system.",0.2264150943396226,0.06083650190114069,0.16603773584905662,0.8621630668640137,0.7940270304679871,0.8266934752464294
test_1,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,55,55,1,1.0,0.01818181818181818,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,3,1.0,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,1,1.0,0.01818181818181818,2,0.6666666666666666,0.03636363636363636,3,0.6,0.05454545454545454,3,0.6,0.05454545454545454,0.4,bart_base,clean_trained,easy,"we study the detectability of circular polarization in a stochastic gravitational wave background from various sources such as supermassive black hole binaries , cosmic strings , and inflation in the early universe with pulsar timing arrays . 
 we calculate generalized overlap reduction functions for the circularly polarized stochastic gravitational wave background . 
 we find that the circular polarization can not be detected for an isotropic background . however , there is a chance to observe the circular polarization for an anisotropic gravitational wave background . 
 we also show how to separate polarized gravitational waves from unpolarized gravitational waves .","we study the auto - correlation of pulsars with pulsars in the range @xmath0. 
 we show that the generalized marcum _ q_-function of order @xcite is strictly increasing with respect to its real order.    in particular, we show how the generalized nuttall _ _-function can be used to construct the generalized roman factorials _ and _ knuth factorial functions of order 
.",0.3378378378378379,0.0821917808219178,0.2162162162162162,0.8440195918083191,0.8432178497314453,0.8436185121536255
test_2,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,21,21,1,1.0,0.047619047619047616,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,3,1.0,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0,0.0,0.0,1,0.3333333333333333,0.047619047619047616,3,0.6,0.14285714285714285,3,0.6,0.14285714285714285,0.4,bart_base,clean_trained,easy,"starting from the wkb approximation , a new barrier penetration formula is proposed for potential barriers containing a long - range coulomb interaction . 
 this formula is especially proper for the barrier penetration with penetration energy much lower than the coulomb barrier . 
 the penetrabilities calculated from the new formula agree well with the results from the wkb method . as a first attempt , 
 this new formula is used to evaluate @xmath0 decay half - lives of atomic nuclei and a good agreement with the experiment is obtained .","we study the stability of a spherical nuclei in the presence of a mass distribution. 
 we show that the stability is enhanced by the addition of a small number of orbital elements to the barrier.    in addition, the stability increases by a factor of two when the barrier is close to the outer turning point of the system. in this case 
 the stability becomes enhanced by increasing the orbital elements and the orbital eccentricity of the nuclei.",0.2641509433962264,0.012738853503184714,0.17610062893081763,0.8673238158226013,0.8345279097557068,0.8506098389625549
test_3,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,31,31,1,1.0,0.03225806451612903,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,3,1.0,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,1,1.0,0.03225806451612903,1,0.3333333333333333,0.03225806451612903,3,0.6,0.0967741935483871,3,0.6,0.0967741935483871,0.4,bart_base,clean_trained,easy,"we study a novel class of numerical integrators , the adapted nested force - gradient schemes , used within the molecular dynamics step of the hybrid monte carlo ( hmc ) algorithm . 
 we test these methods in the schwinger model on the lattice , a well known benchmark problem . 
 we derive the analytical basis of nested force - gradient type methods and demonstrate the advantage of the proposed approach , namely reduced computational costs compared with other numerical integration schemes in hmc .","we present a novel numerical scheme for the calculation of the hill coefficient of a two - dimensional fermion system. 
 the algorithm is based on the 5-stage nested force - gradient scheme introduced in @xcite, and is able to solve the hill coefficients in the multirate setting.",0.38333333333333336,0.11864406779661017,0.2833333333333333,0.8818563222885132,0.857617199420929,0.86956787109375
test_4,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,37,37,1,1.0,0.02702702702702703,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,3,1.0,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,1,1.0,0.02702702702702703,2,0.6666666666666666,0.05405405405405406,3,0.6,0.08108108108108109,3,0.6,0.08108108108108109,0.4,bart_base,clean_trained,easy,"new methods for obtaining functional equations for feynman integrals are presented . 
 application of these methods for finding functional equations for various one- and two- loop integrals described in detail . 
 it is shown that with the aid of functional equations feynman integrals in general kinematics can be expressed in terms of simpler integrals . 
 pacs numbers : 02.30.gp , 02.30.ks , 12.20.ds , 12.38.bx + keywords : feynman integrals , functional equations     +    derivation of functional equations for feynman integrals + from algebraic relations   +    * o.v . 
 tarasov * +   ii . 
 institut fr theoretische physik , universitt hamburg , + luruper chaussee 149 , 22761 hamburg , germany + and + joint institute for nuclear research , + 141980 dubna , russian federation + : otarasov@jinr.ru +","in this paper, we study the problem of finding the best fit to the lisa data stream. 
 we show that the optimal fit is achieved by using a template based search of the data stream, and that the best match is obtained by using the markov chain monte carlo ( mcmc ) algorithm.    * keywords * : * lisa, binary binary, markov chains montecarlo, mcmcs algorithm.",0.11764705882352942,0.0,0.07058823529411766,0.8531599044799805,0.7960478067398071,0.8236149549484253
test_5,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,34,34,1,1.0,0.029411764705882353,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,3,1.0,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0,0.0,0.0,2,0.6666666666666666,0.058823529411764705,3,0.6,0.08823529411764706,3,0.6,0.08823529411764706,0.4,bart_base,clean_trained,easy,"in the hierarchical search for periodic sources of gravitational waves , the candidate selection , in the incoherent step , can be performed with hough transform procedures . in this paper 
 we analyze the problem of sensitivity loss due to discretization of the parameters space vs computing cost , comparing the properties of the sky hough procedure with those of a new frequency hough , which is based on a transformation from the _ time - observed frequency _ plane to the _ source frequency - spin down _ plane . 
 results on simulated peakmaps suggest various advantages in favor of the use of the frequency hough . the ones which show up to really make the difference are 1 ) the possibility to enhance the frequency resolution without relevantly affecting the computing cost . 
 this reduces the digitization effects ; 2 ) the excess of candidates due to local disturbances in some places of the sky map . 
 they do not affect the new analysis because each map is constructed for only one position in the sky . 
 + pacs . 
 numbers : 04.80nn,07.05kf,97.60jd","we present a new method for the estimation of periodic gravitational wave source candidates. 
 the method is based on the pauli channel, which is a natural extension of quantum error correction. in this paper 
, we show that the method can be applied to any quantum system, and that it can be used to estimate the probability of finding periodic gravitational waves.",0.2807017543859649,0.07964601769911504,0.14035087719298245,0.8884789347648621,0.8050709962844849,0.8447210788726807
test_6,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,28,28,1,1.0,0.03571428571428571,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,3,1.0,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,1,1.0,0.03571428571428571,1,0.3333333333333333,0.03571428571428571,3,0.6,0.10714285714285714,3,0.6,0.10714285714285714,0.4,bart_base,clean_trained,easy,"i summarize what we have learned about the nature of stars that ultimately explode as core - collapse supernovae from the examination of images taken prior to the explosion . by registering pre - supernova and post - supernova images , usually taken at high resolution using either space - based optical detectors , or ground - based infrared detectors equipped with laser guide star adaptive optics systems , nearly three dozen core - collapse supernovae 
 have now had the properties of their progenitor stars either directly measured or ( more commonly ) constrained by establishing upper limits on their luminosities . 
 these studies enable direct comparison with stellar evolution models that , in turn , permit estimates of the progenitor stars physical characteristics to be made . 
 i review progenitor characteristics ( or constraints ) inferred from this work for each of the major core - collapse supernova types ( ii - plateau , ii - linear , iib , iin , ib / c ) , with a particular focus on the analytical techniques used and the processes through which conclusions have been drawn . 
 brief discussion of a few individual events is also provided , including sn 2005gl , a type iin supernova that is shown to have had an extremely luminous  and thus very massive  progenitor that exploded shortly after a violent , luminous blue variable - like eruption phase , contrary to standard theoretical predictions .","we review the recent progress in the search for massive stars ( i.e., massive stars ) in the early universe. 
 we discuss the implications of the proposed image compression method, which can be used to establish a block - based compression scheme for the low - mass progenitors of sne ii - p.",0.2125984251968504,0.007936507936507936,0.10236220472440945,0.8560886383056641,0.7915486693382263,0.8225545883178711
test_7,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,43,43,1,1.0,0.023255813953488372,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,3,1.0,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,1,1.0,0.023255813953488372,2,0.6666666666666666,0.046511627906976744,3,0.6,0.06976744186046512,3,0.6,0.06976744186046512,0.4,bart_base,clean_trained,easy,"we present a phenomenological study of the single - transverse spin asymmetry in azimuthal correlations of two jets produced nearly `` back - to - back '' in @xmath0 collisions at rhic . 
 we properly take into account the initial- and final - state interactions of partons that can generate this asymmetry in qcd hard - scattering . using distribution functions fitted to the existing single - spin data , we make predictions for various weighted single - spin asymmetries in dijet correlations that are now readily testable at rhic .","we study the effect of parton distributions on the transverse momentum of a nucleon in the presence of a transverse momenta of partons. 
 we find that the parton distribution in the nucleon is strongly polarized, and that it is strongly correlated with the transversely polarized parton. in this way 
, we show that the sivers effect plays an important role in qcd, beyond giving rise to phenomenological functions to be used in the description of single - spin phenomena.",0.4,0.0392156862745098,0.24516129032258063,0.8741136193275452,0.8503392338752747,0.8620625734329224
test_8,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,35,35,1,1.0,0.02857142857142857,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,3,1.0,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0,0.0,0.0,1,0.3333333333333333,0.02857142857142857,3,0.6,0.08571428571428572,3,0.6,0.08571428571428572,0.4,bart_base,clean_trained,easy,"kingman s coalescent is a random tree that arises from classical population genetic models such as the moran model . 
 the individuals alive in these models correspond to the leaves in the tree and the following two laws of large numbers concerning the structure of the tree - top are well - known : ( i ) the ( shortest ) distance , denoted by @xmath0 , from the tree - top to the level when there are @xmath1 lines in the tree satisfies @xmath2 almost surely ; ( ii ) at time @xmath0 , the population is naturally partitioned in exactly @xmath1 families where individuals belong to the same family if they have a common ancestor at time @xmath0 in the past . if @xmath3 denotes the size of the @xmath4th family , then @xmath5 almost surely . for both laws of large numbers 
 we prove corresponding large deviations results . for ( i ) , the rate of the large deviations is @xmath1 and we can give the rate function explicitly . for ( ii ) , the rate is @xmath1 for downwards deviations and @xmath6 for upwards deviations . for both cases 
 we give the exact rate function . 
 =     =    =     =","we present a new method for reconstructing shower events from the data of the ta x - ray observatory ( ta ). 
 the method is based on the fenchel - legendre transform of the energy distribution of the shower particles. in order to obtain the reconstructed events 
, we use the fermi - klein method. in this method, 
 we obtain a sequence of distributions of shower particles in a single channel, which is consistent with the results of the previous ta analysis.",0.23199999999999998,0.03225806451612904,0.16,0.841941773891449,0.7683338522911072,0.8034554719924927
test_9,test,noisy,cross_doc_easy,cross_doc_easy,2,5,5,3,3,71,71,1,1.0,0.014084507042253521,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,3,1.0,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0,0.0,0.0,2,0.6666666666666666,0.028169014084507043,3,0.6,0.04225352112676056,3,0.6,0.04225352112676056,0.4,bart_base,clean_trained,easy,"we discuss several novel types of multi - component ( temporal and spatial ) envelope solitary waves that appear in fiber and waveguide nonlinear optics . 
 in particular , we describe multi - channel solitary waves in bit - parallel - wavelength fiber transmission systems for high performance computer networks , multi - colour parametric spatial solitary waves due to cascaded nonlinearities of quadratic materials , and quasiperiodic envelope solitons due to quasi - phase - matching in fibonacci optical superlattices .    2","we study the nonlinear phase matching between the parametrically interacting waves in a two - mode soliton. 
 we show that the non - linear phase matching can be achieved in the presence of a nonlinearity - induced change in the refractive index of the system.",0.2882882882882883,0.03669724770642202,0.14414414414414414,0.8785489797592163,0.8415152430534363,0.8596334457397461
